empresa,cuit_empresa,plantacarga,tipo_planta,direccion,provincia_geo,depto_geo,area_urbana_geo,prod_ult_informe
ESTABLECIMIENTO EL ALBARDÓN S.A.,30708537302,Establecimiento El Albardon S.A. -  Pto. Gral. San Martin - Santa Fe,Planta Biodiesel,COMBATE PUNTA QUEBRACHO Y VUCETICH,SANTA FE,San Lorenzo,GRAN ROSARIO,Biodiesel;2024-4
PROMAÍZ S.A.,30711663335,Promaiz S.A. - Alejandro Roca - Cordoba,Planta de Biodiesel y Bioetanol,CALLE MITRE S/N,CORDOBA,Juárez Celman,,Biodiesel;2023-7 / Bioetanol;2024-4
BIO RAMALLO S.A.,33711967589,Bio Ramallo S.A. - Ramallo - Buenos Aires,Planta Biodiesel,RUTA 21,BUENOS AIRES,Ramallo,,Biodiesel;2024-4
BIOBIN S.A.,30711969930,Biobin S.A. - Junin - Buenos Aires,Planta Biodiesel,PARQUE INDUSTRIAL JUNIN,BUENOS AIRES,Junín,JUNIN,Biodiesel;2024-4
AGRO M Y G S.A.,33710055969,Agro M y G S.A. - Saladillo - Buenos Aires,Planta Biodiesel,RUTA 205 KM 178.5,BUENOS AIRES,Saladillo,,Biodiesel;2024-5
ACA BIO COOPERATIVA LTDA.,30711829063,Aca Bio Coop. Ltda. - Villa Maria - Cordoba,Planta Bioetanol,CRUCE RUTA PROVINCIAL 2 Y AUTOPISTA CORDOBA-ROSARIO,CORDOBA,General San Martín,,Bioetanol;2024-5
DOBLE L BIOENERGÍAS S.A.,30712274464,Doble L Bioenergias S.A. - Sa. Pereira - Santa Fe,Planta Biodiesel,AMENABAR Y RUTA 19,SANTA FE,Las Colonias,,Biodiesel;2024-5
BIOENERGÉTICA LEALES S.A.,30714864129,Bioenergetica Leales S.A. - La Encantada - Leales - Tucuman,Planta Bioetanol,,TUCUMAN,Leales,PALA PALA-VILLA FIAD - INGENIO LEALES,Bioetanol;2024-5
BIO ATAR S.A.,30707949496,Bio Atar S.A. - Tucuman - Tucuman,Planta Bioetanol,,TUCUMAN,Cruz Alta,GRAN SAN MIGUEL DE TUCUMÁN,Bioetanol;2024-5
FRONTERITA ENERGÍA S.A.,30711028893,Fronterita Energia S.A. - Famailla - Tucuman,Planta Bioetanol,RUTA 324,TUCUMAN,Famaillá,,Bioetanol;2024-4
BIOCORBA S.A. ,30712145370,Biocorba S.A. - Pque. Ind. Comirsa - Ramallo - Bs As,Planta Biodiesel,,BUENOS AIRES,Ramallo,,Biodiesel;2024-4
REFINAR BIO S.A. ,30712951105,Refinar Bio S.A. - Pque. Ind. Comirsa - Ramallo - Bs As,Planta Biodiesel,,BUENOS AIRES,Ramallo,,Biodiesel;2024-4
BIOBAL ENERGY S.A. ,30712107487,Biobal Energy S.A. - Pque. Ind. Comirsa - Ramallo - Bs As,Planta Biodiesel,,BUENOS AIRES,Ramallo,,Biodiesel;2024-4
MAÍZ ENERGÍA S.A.,30715776223,BUENA ESPERANZA - SAN LUIS,Planta Bioetanol,,SAN LUIS,Gobernador Dupuy,,Bioetanol;2024-5
BIOENERGÍAS AGROPECUARIAS S.A.,30714344184,BIOENERGÍAS AGROPECUARIAS S.A. - VILLA OCAMPO - SANTA FE,Planta Bioetanol,,SANTA FE,General Obligado,,Bioetanol;2024-4
MAÍZ ENERGÍA S.A.,30715776223,RP 130 - Pozo Hondo - Santiago del Estero,Planta Bioetanol,,SANTIAGO DEL ESTERO,Jiménez,,Bioetanol;2024-5
MAÍZ ENERGÍA S.A.,30715776223,Maíz Energía S.A - Las Peñas - Córdoba,Planta Bioetanol,,CORDOBA,Totoral,,Bioetanol;2024-5
MAÍZ ENERGÍA S.A.,30715776223,Maíz Energía S.A. - Rayo Cortado - Córdoba,Planta Bioetanol,,CORDOBA,Río Seco,,Bioetanol;2024-5
MAÍZ ENERGÍA S.A.,30715776223,Maíz Energía S.A. - Río Cuarto - Córdoba,Planta Bioetanol,,CORDOBA,Río Cuarto,,Bioetanol;2024-5
MAÍZ ENERGÍA S.A.,30715776223,MAÍZ ENERGÍA S.A. - Moreno  Santiago del Estero,Planta Bioetanol,,SANTIAGO DEL ESTERO,Moreno,,Bioetanol;2024-5
COMPAÑIA AZUCARERA LOS BALCANES SA,30675415087,COMPAÑIA AZUCARERA LOS BALCANES SA,Planta Bioetanol,,TUCUMAN,Cruz Alta,LA FLORIDA,Bioetanol;2024-4
